epoch,train_loss,train_acc,train_macro_f1,val_loss,val_acc,val_macro_f1,lr,epoch_time_sec
1,0.6936732007314316,0.7899461400359067,0.7314458915886909,0.3875529745529438,0.8879310344827587,0.8564985090810519,0.001,74.81105327606201
2,0.24043463515636096,0.940754039497307,0.9167654566733034,0.31263852633278943,0.896551724137931,0.8695541125541124,0.001,68.9338846206665
3,0.2005490085487948,0.9443447037701975,0.9228310656090584,0.2723147067530402,0.9051724137931034,0.8824329004329006,0.001,70.45688533782959
4,0.15263243990697808,0.9551166965888689,0.9397300090938316,0.2573694124304015,0.9137931034482759,0.8941753246753246,0.001,70.6438856124878
5,0.1284501987176695,0.9658886894075404,0.9523396373227213,0.2554120873582774,0.9051724137931034,0.8826372549019608,0.001,70.48043513298035
6,0.11857790660440815,0.9605026929982047,0.9455587698411951,0.23192849960820427,0.9224137931034483,0.9074411764705882,0.001,70.48561716079712
7,0.10537088459066686,0.9748653500897666,0.9650638268018821,0.2209618055614932,0.9310344827586207,0.9203077453855443,0.001,68.48873805999756
8,0.09699051458676157,0.9640933572710951,0.9497531692298322,0.21699431230281963,0.9137931034482759,0.8945012937726411,0.001,68.4915132522583
9,0.08759628719845837,0.9820466786355476,0.9752287293642352,0.2088684157050889,0.9310344827586207,0.9203077453855443,0.001,68.41652369499207
10,0.06929269050460315,0.9874326750448833,0.9821662387676507,0.20492697224534792,0.9396551724137931,0.9321069518716577,0.001,68.44485282897949
